id,th
已下注，不能退出,วางเดิมพันแล้ว ไม่สามารถออกได้
不在此房间内,ไม่ได้อยู่ในห้องนี้
您的下注不符合要求，请调整下注金额！,ยอดเดิมพันไม่เป็นตามเงื่อนไข โปรดปรับยอดเดิมพัน!
投注后携带金额不能低于{{.Gold}}金币,ยอดเงินหลังเดิมพันต้องไม่ต่ำกว่า {{.Gold}} เหรียญ
下注已达上限{{.Gold}}金币,การเดิมพันสูงสุด {{.Gold}} เหรียญทอง
取消下注失败,ยกเลิกเดิมพันไม่สำเร็จ
请求太频繁,กรุณาอย่ากดซ้ำๆ
桌子ID无效,IDโต๊ะ ไม่ถูกต้อง
桌子尚未启动，请稍后重新进入,โต๊ะนี้ยังไม่เริ่ม โปรดเข้าใหม่ภายหลัง
桌子无效,โต๊ะไม่ถูกต้อง
下注区域不合法,การเดิมพันไม่ถูกต้อง
已经离开,ออกแล้ว
桌子还未开启,โต๊ะยังไม่เปิด
玩家不在桌子里,ผู้เล่นไม่อยู่ที่โต๊ะ
项目,โปรเจค
7日数据,ข้อมูล 7 วัน
当月数据,ข้อมูลเดือนนี้
总数据,ข้อมูลทั้งหมด
总产出,ผลิตภัณฑ์ทั้งหมด
总流水,ยอดเทิร์นรวม
总回报率,ผลตอบแทนรวม
日期,วันที่
总押分,เดิมพัน
系统收益,รายได้ของระบบ
购买小游戏总押注,เดิมพันรวมการซื้อมินิเกม
购买小游戏回报率,ผลตอบแทนการซื้อมินิเกม
回报率,อัตราชนะ
默认权限组,กลุ่มสิทธิ์
名字重复,ชื่อซ้ำ
权限不足,ไม่มีสิทธิ์
参数错误,ดึงข้อมูลผิดพลาด
数据库错误,ฐานข้อมูลผิดพลาด