key,zh,en,th
用户名,用户名,,ชื่อผู้ใช้
密码,密码,,รหัสผ่าน
登录,登录,log on,เข้าสู่ระบบ
登录成功,登录成功,,เข้าสู่ระบบเรียบร้อย
退出登录,退出登录,Log out,ออกจากระบบ
选择图片,选择图片,,เลือกรูปภาพ
当前路径,当前路径,,พาธปัจจุบัน
已存在文件,已存在文件,,มีไฟล์อยู่แล้ว
请输入,请输入,Enter,กรุณากรอก
请选择,请选择,Please select,กรุณาเลือก
修改密码,修改密码,Change Password,แก้ไขรหัสผ่าน
取消,取消,,ยกเลิก
确定,确定,,ยืนยัน
旧密码,旧密码,Old password,รหัสผ่านเก่า
新密码,新密码,Password,รหัสผ่านใหม่
确认密码,确认密码,Confirm Password,ยืนยันรหัสผ่าน
保存,保存,save,บันทึก
请填写旧密码,请填写旧密码,Please fill in the old password,กรุณากรอกรหัสผ่านเก่า
请填写新密码,请填写新密码,Please fill in the new password,กรุณากรอกรหัสผ่านใหม่
请再次确认密码,请再次确认密码,Please confirm the password again,กรุณายืนยันรหัสผ่านอีกครั้ง
修改成功,修改成功,,แก้ไขสำเร็จ
搜索,搜索,search for,ค้นหา
导出,导出,,นำออก
手机号,手机号,,เบอร์โทร
银行卡号,银行卡号,,เลขที่บัญชี
真实姓名,真实姓名,,ชื่อ-สกุล
trueMoney姓名,trueMoney姓名,,ชื่อ-สกุลTrueMoney
状态,状态,,สถานะ
全部,全部,,ทั้งหมด
正常,正常,,ปกติ
封禁,封禁,,แบน
注册日期,注册日期,,วันที่ลงทะเบียน
登录日期,登录日期,,วันที่เข้าสู่ระบบ
至,至,,ถึง
结束日期,结束日期,,วันที่สิ้นสุด
开始日期,开始日期,,วันที่เริ่มต้น
详情,详情,,รายละเอียด
用户名,用户名,,ชื่อผู้ใช้
携带金币,携带金币,,เหรียญที่พกพา
银行金币,银行金币,,เหรียญในธนาคาร
充值金币总和,充值金币总和,,ยอดเติมทั้งหมด
提现金币总和,提现金币总和,,ยอดถอนทั้งหมด
VIP等级,VIP等级,,ระดับ VIP
最大VIP等级,最大VIP等级,,ระดับ VIPสูงสุด
注册时间,注册时间,,วันที่ลงทะเบียน
最后登录时间,最后登录时间,,เข้าสู่ระบบล่าสุด
操作,操作,,ดำเนินการ
用户列表,用户列表,,รายการผู้ใช้
玩家信息,玩家信息,,รายละเอียดผู้เล่น
昵称,昵称,,ชื่อเล่น
性别,性别,,เพศ
生日,生日,,วันเกิด
身份证,身份证,,เลขบัตรประชาชน
剩余转转乐次数,剩余转转乐次数,,คงเหลือหมุนวงล้อหรรษา
转转乐积分余额,转转乐积分余额,,คงเหลือคะแนนสะสมวงล้อหรรษา
上级代理ID,上级代理ID,,IDตัวแทนระดับบน
成长值,成长值,,ค่าเติบโต
周成长值,周成长值,,ค่าเติบโตรายสัปดาห์
最后登陆时间,最后登陆时间,,เข้าสู่ระบบครั้งสุดท้าย
登陆IP,登陆IP,,IPที่ใช้เข้าระบบ
复制,复制,,คัดลอก
男,男,,ชาย
女,女,,หญิง
金币数据,金币数据,,ข้อมูลเหรียญ
金币总额,金币总额,,จำนวนเหรียญทั้งหมด
可提现金币,可提现金币,,เหรียญที่สามารถถอนได้
总流水,总流水,,ยอดเทิร์นทั้งหมด
锁金,锁金,,ล็อคเหรียญ
锁水,锁水,,ล็อคเทิร์น
剩余提现额度,剩余提现额度,,จำนวนเงินที่สามารถถอนได้
当日的剩余提现额度,当日的剩余提现额度,,จำนวนเงินที่สามารถถอนได้ในวันนี้
充值到帐金币,充值到帐金币,,เหรียญที่ได้รับ
成功的提现申请总额,成功的提现申请总额,,จำนวนเงินถอนทั้งหมด
提现待处理金币,提现待处理金币,,จำนวนเงินถอนที่รอดำเนินการ
提现退回金币,提现退回金币,,คืนเหรียญถอน
提现手续费,提现手续费,,ค่าธรรมเนียมถอน
充值的总手续费,充值的总手续费,,ค่าธรรมเนียมฝากทั้งหมด
绑定信息,绑定信息,,ผูกข้อมูล
银行名称,银行名称,,ชื่อธนาคาร
银行账号,银行账号,,เลขที่บัญชี
Truemoney帐号,Truemoney帐号,,เบอร์TrueMoney
Truemoney真实姓名,Truemoney真实姓名,,ชื่อ-สกุลTrueMoney
设备ID,设备ID,,IDอุปกรณ์
是否白名单,是否白名单,,Whitelist ใช่หรือไม่
渠道号,渠道号,,เลขช่องทาง
直属下级人数,直属下级人数,,จำนวนระดับล่าง
停封账号,停封账号,,แบนบัญชี
当前状态,当前状态,,สถานะปัจจุบัน
备注,备注,,หมายเหตุ
解封,解封,,ปลดแบน
设置生日,设置生日,,ลงทะเบียนวันเกิด
提交,提交,,กดส่ง
金币流水管理,金币流水管理,,การจัดการเหรียญ/ยอดเทิร์น
三个类型,三个类型输入+值代表加相应值，-值代表减相应值！,,ป้อนข้อมูล3ช่อง
账户携带金币,账户携带金币,,เหรียญที่พกพา(ที่มีอยู่)
账户保险箱金币,账户保险箱金币,,เหรียญในตู้เซฟ
金币业绩流水,金币业绩流水,,ยอดเทิร์น
提现解锁流水,提现解锁流水,,การจัดการเทิร์น/ถอน
赠送金币,赠送金币,,เหรียญแถม
锁定金币,锁定金币,,เหรียญที่ล็อค
提现限制流水,提现限制流水,,ยอดเทิร์น
当前总金币,当前总金币,,เหรียญปัจจุบันทั้งหมด
三个类型2,三个类型输入+值代表加相应值，-值代表减相应值，输入值为加减值，并非最终值！,,ป้อนข้อมูล3ช่อง
重置账户信息,重置账户信息,,รีเซ็ตข้อมูลบัญชี
重置类别,重置类别,,รีเซ็ตประเภท
重置银行卡信息,重置银行卡信息,,รีเซ็ตข้อมูลธนาคาร
重置登陆密码,重置登陆密码,,รีเซ็ตรหัสผ่าน
重置Truemoney信息,重置Truemoney信息,,รีเซ็ตข้อมูลTrueMoney
重置手机号,重置手机号,,รีเซ็ตเบอร์โทร
手机号修改,手机号修改,,แก้ไขเบอร์โทร
用户成长值修改,用户成长值修改,,แก้ไขค่าการเติบโต
用户成长值修改text,输入+值代表加相应成长值，-值代表减相应成长值！,,แก้ไขค่าการเติบโตtext
转转乐积分修改,转转乐积分修改,,แก้ไขคะแนนสะสมวงล้อหรรษา
积分,积分,,คะแนนสะสม
转转乐积分修改text,输入+值代表加相应积分，-值代表减相应积分！,,แก้ไขคะแนนสะสมวงล้อหรรษาtext
转转乐次数修改,转转乐次数修改,,แก้ไขจำนวนครั้งวงล้อหรรษา
次数,次数,,จำนวนครั้ง
原因,原因,,สาเหตุ
绑定上级关系,绑定上级关系,,ผูกสายบน
上级ID,上级ID,,IDสายบน
搜索日期,搜索日期,,ค้นหาวันที่
用户ID,用户ID,,IDผู้ใช้
操作人,操作人,,ผู้ดำเนินการ
行为,行为,,พฤกติกรรม
时间,时间,,เวลา
类型,类型,,ประเภท
金币变化,金币变化,,การเปลี่ยนแปลงเหรียญ
银行变化,银行变化,,การเปลี่ยนแปลงธนาคาร
流水变化,流水变化,,การเปลี่ยนแปลงยอดเทิร์น
锁水变化,锁水变化,,การเปลี่ยนแปลงล็อคยอดเทิร์น
锁金变化,锁金变化,,การเปลี่ยนแปลงล็อคเหรียญ
流水/锁水/锁金,流水/锁水/锁金,,ยอดเทิร์น/ล็อคเทิร์น/ล็อคเหรียญ
未知,未知,,ไม่ทราบ
游戏,游戏,,เกม
保险箱,保险箱,,ตู้เซฟ
充值,充值,,เติมเงิน
提现,提现,,ถอนเงิน
后台,后台,,ระบบหลังบ้าน
退回金币,退回金币,,คืนเหรียญ
绑定手机,绑定手机,,ผูกเบอร์
生日奖励,生日奖励,,โบนัสวันเกิด
节日奖励,节日奖励,,โบนัสวันหยุด
开心转转乐,开心转转乐,,วงล้อหรรษา
输钱返还,输钱返还,,คืนยอดเสีย
下注返还,下注返还,,คืนยอดเดิมพัน
彩票,彩票,,หวย
vip宝箱,vip宝箱,,หีบสมบัติVIP
绑定推广金,绑定推广金,,รางวัลผูกเบอร์จากการแชร์
充值推广金,充值推广金,,รางวัลเติมเงินจากการแชร์
商城兑换,商城兑换,,อัตราแลกเปลี่ยน
平台,平台,,แพลตฟอร์ม
平台名,平台名,,ชื่อแพลตฟอร์ม
游戏类型,游戏类型,,ประเภทเกม
游戏ID,游戏ID,,IDเกม
游戏局号,游戏局号,,หมายเลขรอบเกม
消耗,消耗,,ใช้ไป
产出,产出,,ผลิตภัณฑ์
有效下注额,有效下注额,,ยอดเทิร์นที่สำเร็จ
下注时间,下注时间,,เวลาที่เดิมพัน
结算时间,结算时间,,เวลาที่คำนวณ
变更类型,变更类型,,ประเภทการเปลี่ยนแปลง
变更模式,变更模式,,รูปแบบการเปลี่ยนแปลง
收入,收入,,รายได้
支出,支出,,รายจ่าย
等级变更,等级变更,,การเปลี่ยนแปลงระดับ
变更后等级,变更后等级,,ระดับหลังการเปลี่ยนแปลง
成长值变化,成长值变化,,การเปลี่ยนแปลงค่าการเติบโต
成长值变更,成长值变更,,อัพเดทค่าการเติบโต
后台增加,后台增加,,เพิ่มโดยระบบ
后台扣除,后台扣除,,หักโดยระบบ
每周扣除,每周扣除,,หักทุกสัปดาห์
玩家数量,玩家数量,,จำนวนผู้เล่น
活跃数量,活跃数量,,จำนวนแอคทีฟ
领取宝箱数量,领取宝箱数量,,จำนวนผู้รับเหรียญหีบสมบัติ
领取宝箱金额,领取宝箱金额,,จำนวนเหรียญรับหีบสมบัติ
充值金额,充值金额,,จำนวนเงินเติม
提现金额,提现金额,,จำนวนเงินถอน
统计日期,统计日期,,วันที่สรุป
等级,等级,,ระดับ
电话号码,电话号码,,เบอร์โทร
总充值,总充值,,ยอดเติมทั้งหมด
总提现,总提现,,ยอดถอนทั้งหมด
总充提差,总充提差,,ส่วนต่างเติม/ถอน
玩家盈利金币,玩家盈利金币,,เหรียญที่ลูกค้าชนะ
回报率,回报率,,อัตราชนะ
带出时间,带出时间,,เวลานำออก
当日时间,当日时间,,เวลาปัจจุบัน
输钱,输钱,,แพ้
保险箱金币,保险箱金币,,เหรียญในตู้เซฟ
总金币,总金币,,เหรียญทั้งหมด
登录时间,登录时间,,เวลาเข้าสู่ระบบ
总库存金币,总库存金币,,เหรียญในระบบทั้งหมด
手动添加金币,手动添加金币,,เพิ่มเหรียญโดยแมนนวล
手动扣除金币,手动扣除金币,,หักเหรียญโดยแมนนวล
绑定手机次数,绑定手机次数,,จำนวนครั้งที่ผูกเบอร์
绑定手机奖励,绑定手机奖励,,รางวัลผูกเบอร์
每日投注返还,每日投注返还,,คืนยอดเดิมพันรายวัน
彩票奖励,彩票奖励,,รางวัลล็อตเตอรี่
推广奖励(绑定手机),推广奖励(绑定手机),,รางวัลจากการแชร์(สายล่างผูกเบอร์)
推广奖励(充值奖励),推广奖励(充值奖励),,รางวัลจากการแชร์(สายล่างเติมเงิน)
VIP宝箱奖励,VIP宝箱奖励,,รางวัลหีบสมบัติVIP
转转乐奖励,转转乐奖励,,รางวัลวงล้อหรรษา
输钱返金,输钱返金,,คืนยอดเสีย
生日奖金,生日奖金,,โบนัสวันเกิด
节日奖金,节日奖金,,โบนัสวันหยุด
日期,日期,,วันที่
游戏总流水,游戏总流水,,ยอดเทิร์นเกมทั้งหมด
充值到账金币,充值到账金币,,เหรียญที่ได้รับ
系统承担充值服务费,系统承担充值服务费,,ค่าบริการการเติมเงินที่ระบบรับผิดชอบ
充值人数,充值人数,,จำนวนคนเติม
充值次数,充值次数,,จำนวนครั้งที่เติม
付费率,付费率,,อัตราการชำระเงิน
首充总金额,首充总金额,,ยอดเติมครั้งแรกทั้งหมด
首充平均付费,首充平均付费,,ค่าเฉลี่ยต่อการเติมครั้งแรก
首充人数,首充人数,,จำนวนคนเติมครั้งแรก
有上级的首充人数,有上级的首充人数,,จำนวนผู้ฝากครั้งแรกของสมาชิกสายบน
提现通过金额,提现通过金额,,จำนวนเงินถอนที่อนุมัติ
提现到账金额,提现到账金额,,จำนวนเงินถอนที่ได้รับ
今日新增,今日新增,,ผู้เล่นเพิ่มใหม่วันนี้
新增未绑定上级,新增未绑定上级,,ผู้เล่นใหม่ที่ยังไม่ได้ผูกสายบน
新增绑定上级,新增绑定上级,,ผู้เล่นใหม่ที่ผูกสายบน
IOS新增,IOS新增,,ผู้เล่นใหม่จาก IOS
Android新增,Android新增,,ผู้เล่นใหม่จาก Android
今日活跃,今日活跃,,ผู้เล่นแอคทีฟ
次日存留,次日存留,,คงอยู่ในวันถัดไป
X日存留,{day}日存留,,คงอยู่Xวัน
付费次留,付费次留,,ค่าชำระต่อเนื่อง
付费X留,付费{day}留,,ค่าชำระXวัน
最高在线,最高在线,,ยอดออนไลน์สูงสุด
单日,单日,,วันเดียว
活跃,活跃,,แอคทีฟ
登录人次,登录人次,,จำนวนผู้เข้าสู่ระบบ
盈利人数,盈利人数,,จำนวนผู้ชนะ
总带入,总带入,,นำเข้าทั้งหมด
总带出,总带出,,นำออกทั้งหมด
总消耗,总消耗,,ใช้ไปทั้งหมด
总产出,总产出,,ผลิตภัณฑ์ทั้งหมด
平均消耗,平均消耗,,การใช้ไปเฉลี่ย
盈利率,盈利率,,อัตรากำไร
平台收益,平台收益,,รายได้แพลตฟอร์ม
总回报率,总回报率,,อัตราผลตอบแทนรวม
平台综合数据,平台综合数据,,ข้อมูลรวมของแพลตฟอร์ม
订单号,订单号,,เลขคำสั่งซื้อ
渠道,渠道,,ช่องทาง
第三方订单号,第三方订单号,,เลขคำสั่งซื้อช่องทางสาม
上分金额,上分金额,,จำนวนเงินเติม
充值渠道,充值渠道,,ช่องทางการเติม
申请时间,申请时间,,เวลากดส่งยอด
更新时间,更新时间,,เวลาสำเร็จ
是否补单,是否确定此条数据补单?,,ยืนยันเติมรายการนี้หรือไม่?
补单,补单,,เติมเหรียญ
付款信息,付款信息,,ข้อมูลการชำระเงิน
银行代码,银行代码,,รหัสธนาคาร
付款人,付款人,,ผู้ชำระเงิน
付款账号,付款账号,,เลขบัญชีผู้ชำระเงิน
收款信息,收款信息,,ข้อมูลผู้รับเงิน
收款人,收款人,,ชื่อผู้รับเงิน
收款账号,收款账号,,บัญชีผู้รับเงิน
充提详情,充提详情,,รายละเอียดเติม/ถอน
关闭,关闭,,ปิด
收款信息备注,收款信息备注,,หมายเหตุ
收款银行,收款银行,,ธนาคารผู้รับเงิน
收款金额,收款金额,,จำนวนเงินที่ได้รับ
流水号,流水号,,เลขสเตทเม้น
请选择收款银行,请选择收款银行,,กรุณาเลือกธนาคารที่รับชำระเงิน
请选择收款渠道,请选择收款渠道,,กรุณาเลือกช่องทางการรับชำระเงิน
收款渠道,收款渠道,,ช่องทางการชำระเงิน
请输入收款金额,请输入收款金额,,กรุณากรอกจำนวนเงิน
请输入流水号,请输入流水号,,กรุณากรอกเลขสเตทเม้น
请选择日期,请选择日期,,กรุณาเลือกวันที่
添加,添加,,เพิ่ม
删除,删除,,ลบ
查询并填写,查询并填写,,ค้นหาหรือกรอกข้อมูล
等待,等待,,รอดำเนินการ
成功,成功,,สำเร็จ
失败,失败,,ล้มเหลว
操作成功,操作成功,,การดำเนินการสำเร็จ
提交金额,提交金额,,จำนวนเงินที่กดส่ง
手续费,手续费,,ค่าธรรมเนียม
付款金额,付款金额,,จำนวนเงินที่ชำระ
提现渠道,提现渠道,,ช่องทางถอน
是否首次提现,是否首次提现,,เป็นการถอนครั้งแรกหรือไม่
是,是,,ใช่
否,否,,ไม่ใช่
今日剩余额度,今日剩余额度,,จำนวนเงินคงเหลือที่ถอนได้วันนี้
审核状态,审核状态,,สถานะ
是否审核,是否通过此条审核?,,อนุมัติรายการนี้หรือไม่
通过,通过,,อนุมัติ
拒绝,拒绝,,ปฎิเสธ
审核,审核,,ตรวจสอบ
用户收款信息,用户收款信息,,ข้อมูลบัญชีลูกค้า
请填写原因,请填写原因,,กรุณาระบุสาเหตุ
支付状态,支付状态,,สถานะการชำระเงิน
是否退回,此条数据是否退回金币?,,ยืนยันคืนเหรียญหรือไม่
退回,退回,,คืนเหรียญ
处理,处理,,ดำเนินการ
申请总额,申请总额,,จำนวนเงินกดส่งทั้งหมด
到帐总额,到帐总额,,จำนวนเงินเข้าบัญชีทั้งหมด
未支付金额,未支付金额,,จำนวนเงินที่ไม่ได้ชำระ
金额,金额,,จำนวนเงิน
提现次数,提现次数,,จำนวนครั้งถอน
VIP自动充值,VIP自动充值,,ช่องทางVIP
truemoney自动充值,truemoney自动充值,,ช่องทางTrue Money
充值渠道名称,充值渠道名称,,ชื่อช่องทางเติมเงิน
是否开启,是否开启,,เปิดหรือไม่
最小充值金额,最小充值金额,,จำนวนเงินฝากขั้นต่ำ
最大充值金额,最大充值金额,,จำนวนเงินฝากสูงสุด
位置,位置,,ตำแหน่ง
充值快捷金额组,充值快捷金额组,,กลุ่มเติมเงินด่วน
修改,修改,,แก้ไข
渠道名称,渠道名称,,รายชื่อช่องทาง
提现渠道名称,提现渠道名称,,ชื่อช่องทางถอนเงิน
最小提现金额,最小提现金额,,จำนวนเงินถอนขั้นต่ำ
最大提现金额,最大提现金额,,จำนวนเงินถอนสูงสุด
平台流水号,平台流水号,,เลขสเตทเม้นแพลตฟอร์ม
打款银行,打款银行,,ธนาคารที่โอนเงิน
收到流水订单时间,收到流水订单时间,,เวลาที่ได้รับเลขสเตทเม้น
玩家付款时间,玩家付款时间,,เวลาที่ลูกค้าชำระเงิน
成功匹配时间,成功匹配时间,,เวลาที่เติมเงินสำเร็จ
超时,超时,,เกินเวลา
重复,重复,,โอนซ้ำ
姓名,姓名,,ชื่อ-สกุล
卡号,卡号,,เลขที่บัญชี
银行短信号码,银行短信号码,,หมายเลขSMSธนาคาร
玩家ID尾号,玩家ID尾号,,IDเลขท้าย
是否删除,是否确定删除此项数据?,,ยืนยันลบรายการนี้หรือไม่
请选择银行,请选择银行,,กรุณาเลือกธนาคาร
请填写姓名,请填写姓名,,กรุณากรอกชื่อ-สกุล
请填写卡号,请填写卡号,,กรุณากรอกเลขที่บัญชี
请填写银行短信号码,请填写银行短信号码,,กรุณากรอกหมายเลขSMSธนาคาร
玩家真实姓名,玩家真实姓名,,ชื่อ-สกุล
重置类型,重置类型,,รีเซ็ตประเภท
退还金额,退还金额,,จำนวนเงินที่คืน
创建时间,创建时间,,เวลาที่สร้าง
退还时间,退还时间,,เวลาที่คืน
每日次数,每日次数,,จำนวนครั้งต่อวัน
VIP次数,VIP次数,,จำนวนครั้งVIP
积分变化,积分变化,,การเปลี่ยนแปลงคะแนนสะสม
玩家积分,玩家积分,,คะแนนสะสมของผู้เล่น
奖金数量,奖金数量,,จำนวนรางวัล
抽奖比例,抽奖比例,,อัตราส่วนการจับฉลาก
累计返还,累计返还,,คืนยอดเสียสะสม
输钱金额,输钱金额,,จำนวนเงินที่เสีย
返还金币,返还金币,,คืนยอดเสีย
是否全部发放,是否确定对以下数据进行全部发放？,,ยืนยันจ่ายรายการดังกล่าวทั้งหมดหรือไม่?
发放全部,发放全部,,จ่ายทั้งหมด
周结束时间,周结束时间,,เวลาสิ้นสุดของสัปดาห์
领取状态,领取状态,,สถานะการรับ
已领取,已领取,,ได้รับแล้ว
未领取,未领取,,ยังไม่ได้รับ
返还比例,返还比例,,อัตราส่วนคืนยอดเสีย
是否发放,是否确定此项数据进行发放?,,ยืนยันจ่ายรายการนี้หรือไม่?
发放,发放,,จ่าย
累计充值,累计充值,,ยอดเติมสะสม
累计奖励,累计奖励,,รางวัลสะสม
期数,期数,,ระยะเวลา
合计投注,合计投注,,ยอดเดิมพันรวม
奖励金额,奖励金额,,จำนวนเงินรางวัล
电子投注,电子投注,,การเดิมพันสล็อต
捕鱼投注,捕鱼投注,,การเดิมพันยิงปลา
真人投注,真人投注,,การเดิมพันคาสิโนสด
体育投注,体育投注,,การเดิมพันกีฬา
棋牌投注,棋牌投注,,การเดิมพันเกมไพ่
电子总返水,电子总返水,,คืนยอดเสียสล็อตทั้งหมด
捕鱼总返水,捕鱼总返水,,คืนยอดเสียยิงปลาทั้งหมด
真人总返水,真人总返水,,คืนยอดเสียคาสิโนสดทั้งหมด
体育总返水,体育总返水,,คืนยอดเสียกีฬาทั้งหมด
棋牌总返水,棋牌总返水,,คืนยอดเสียเกมไพ่ทั้งหมด
平台总返水,平台总返水,,คืนยอดเสียของแพลตฟอร์มทั้งหมด
累计返水,累计返水,,คืนยอดเสียสะสม
获得积分,获得积分,,ได้รับคะแนน
名称,名称,,ชื่อ-สกุล
新增商品,新增商品,,สินค้าเพิ่มใหม่
商品名称,商品名称,,ชื่อสินค้า
商品图片,商品图片,,รูปภาพสินค้า
数量,数量,,จำนวน
库存,库存,,สินค้าคงคลัง
库存设置,库存设置,,ตั้งค่าสินค้าคงคลัง
商品,商品,,สินค้า
商品类型,商品类型,,ประเภทสินค้า
金币,金币,,เหรียญ
实物,实物,,สิ่งของจริง
